profile_id,ss_id,log_time,act_target_dtl,album_id,payment
255,20220426153942,20220426154128,MKID004,3767,500
1603,20220309163919,20220309164043,MKID004,1640,300
5303,20220411080324,20220411082725,MKID004,3821,500
5303,20220411080324,20220411084013,MKID004,3822,500
5303,20220411080324,20220411085607,MKID004,3823,500
5303,20220411080324,20220411090838,MKID004,3824,500
5303,20220411080324,20220411092024,MKID004,3825,500
5303,20220411080324,20220411093213,MKID004,3826,500
5303,20220411080324,20220411094441,MKID004,3827,500
5303,20220411123359,20220411134124,MKID004,3828,500
5303,20220413115632,20220413135744,MKID004,3829,500
5629,20220308121025,20220308121154,MKID004,17873,6300
5629,20220308121025,20220308121154,MKID004,17873,6300
7394,20220308182618,20220308182750,MKID004,4723,500
7394,20220326162816,20220326162851,MKID004,4962,500
7394,20220327204641,20220327205052,MKID004,19498,500
7394,20220401162843,20220401163111,MKID004,15558,500
7394,20220401162843,20220401163832,MKID004,15552,500
7394,20220401162843,20220401164552,MKID004,8591,500
7394,20220404181121,20220404181311,MKID004,10334,500
7394,20220404181121,20220404182129,MKID004,19499,500
7394,20220404181121,20220404183042,MKID004,18950,500
7394,20220407174831,20220407175132,MKID004,19501,500
7394,20220407174831,20220407195944,MKID004,15544,500
7394,20220420195709,20220420195924,MKID004,19502,500
8410,20220409202530,20220409204046,MKID004,5274,500
8410,20220410210551,20220410211545,MKID004,10451,500
8410,20220411201641,20220411202113,MKID004,10452,500
8410,20220412201703,20220412201808,MKID004,10453,500
8410,20220412201703,20220412202800,MKID004,10454,4200
8410,20220414162254,20220414162426,MKID004,1729,1200
10416,20220313181659,20220313182413,MKID004,1734,500
10416,20220313181659,20220313184339,MKID004,444,1400
10416,20220313181659,20220313184356,MKID004,3460,2500
10416,20220313181659,20220313184444,MKID004,443,1200
10416,20220313181659,20220313184459,MKID004,1729,1200
10416,20220313181659,20220313184519,MKID004,6536,1200
10416,20220313181659,20220313185549,MKID004,1732,1200
10416,20220313181659,20220313185929,MKID004,1731,1200
10416,20220313190416,20220313193435,MKID004,8437,1400
10416,20220314191043,20220314191232,MKID004,4865,500
10416,20220314191043,20220314191454,MKID004,445,500
10416,20220314191043,20220314193845,MKID004,12166,1500
10416,20220321205204,20220321205830,MKID004,444,1400
10416,20220322202113,20220322202307,MKID004,443,1200
10416,20220322202113,20220322202607,MKID004,6536,1200
10416,20220322202113,20220322202732,MKID004,3460,2500
10416,20220323170305,20220323170343,MKID004,17674,300
10416,20220323170305,20220323171126,MKID004,1730,1200
10416,20220323194805,20220323202016,MKID004,1729,1200
10416,20220324113445,20220324115211,MKID004,12166,1500
10416,20220324183236,20220324191052,MKID004,1732,1200
10416,20220324203943,20220324204412,MKID004,610,500
10416,20220324203943,20220324205452,MKID004,15786,500
10416,20220324203943,20220324205854,MKID004,20373,500
10416,20220325200531,20220325203418,MKID004,4683,500
10416,20220325200531,20220325203616,MKID004,21523,500
10416,20220326193605,20220326194126,MKID004,21524,300
10416,20220326193605,20220326194204,MKID004,16808,300
10416,20220326193605,20220326194344,MKID004,4193,1200
10416,20220326193605,20220326194406,MKID004,4194,1200
10416,20220327195123,20220327200219,MKID004,13847,700
10416,20220327195123,20220327200543,MKID004,12939,500
10416,20220327195123,20220327202336,MKID004,8038,500
10416,20220327195123,20220327202744,MKID004,19221,500
10416,20220329190254,20220329190945,MKID004,4196,1200
10416,20220330075703,20220330075755,MKID004,444,1400
10416,20220330075703,20220330075952,MKID004,17441,500
10416,20220331194608,20220331202116,MKID004,18531,300
10416,20220402175414,20220402191039,MKID004,3460,2500
10416,20220402193208,20220402203454,MKID004,11536,300
10416,20220403071540,20220403071742,MKID004,15975,500
10416,20220404205033,20220404212348,MKID004,21526,500
10416,20220404205033,20220404212628,MKID004,5771,700
10416,20220404212633,20220404221106,MKID004,17762,500
10416,20220406204137,20220406205407,MKID004,13078,300
10416,20220406204137,20220406205459,MKID004,3872,300
10416,20220406204137,20220406205608,MKID004,18479,300
10416,20220406204137,20220406210050,MKID004,915,300
10416,20220407185827,20220407195410,MKID004,10134,300
10416,20220407185827,20220407195505,MKID004,10133,300
10416,20220407185827,20220407195640,MKID004,10152,300
10416,20220407185827,20220407195807,MKID004,4680,300
10416,20220407185827,20220407200039,MKID004,10136,300
10416,20220409193312,20220409193917,MKID004,3460,2500
10416,20220409193312,20220409201143,MKID004,10149,300
10416,20220410201021,20220410202350,MKID004,17232,1200
10416,20220412143152,20220412144119,MKID004,10129,300
10416,20220412143152,20220412144148,MKID004,10135,300
10416,20220413070950,20220413073322,MKID004,13870,700
10416,20220414172104,20220414173955,MKID004,21527,300
10416,20220414172104,20220414174533,MKID004,7527,300
10416,20220414172104,20220414174651,MKID004,9156,300
10416,20220414172104,20220414174759,MKID004,9877,300
10416,20220417133608,20220417140958,MKID004,12781,300
10416,20220422204704,20220422205320,MKID004,13492,500
10416,20220423181026,20220423182441,MKID004,4250,500
10416,20220423181026,20220423182600,MKID004,17319,300
10416,20220423181026,20220423182633,MKID004,15400,500
10416,20220423181026,20220423182727,MKID004,9209,500
10416,20220423181026,20220423182828,MKID004,13477,500
10416,20220423181026,20220423183038,MKID004,13489,500
10416,20220423181026,20220423183730,MKID004,13485,500
10416,20220426201807,20220426203033,MKID004,7214,500
10416,20220426201807,20220426203725,MKID004,16677,500
10416,20220426201807,20220426210010,MKID004,3467,700
12472,20220313203533,20220313203651,MKID004,4513,500
12472,20220313203533,20220313205232,MKID004,4634,500
12472,20220314170354,20220314170442,MKID004,4635,500
12472,20220327190253,20220327190755,MKID004,10383,500
12472,20220327190253,20220327190755,MKID004,10383,500
13669,20220422191614,20220422191931,MKID004,9391,500
14035,20220427102836,20220427104140,MKID004,712,300
15000,20220301135705,20220301140041,MKID004,4959,500
15000,20220311104606,20220311104846,MKID004,12071,300
15000,20220402212430,20220402212520,MKID004,11869,300
15000,20220418162952,20220418163806,MKID004,11868,300
16379,20220401194916,20220401195721,MKID004,1640,300
16379,20220401194916,20220401200348,MKID004,1641,300
16379,20220401194916,20220401201033,MKID004,1642,300
16379,20220401194916,20220401202047,MKID004,4956,300
16379,20220401194916,20220401202802,MKID004,1638,300
16379,20220401194916,20220401203406,MKID004,1639,300
16379,20220409171403,20220409171439,MKID004,1640,300
16379,20220412201806,20220412202502,MKID004,1641,300
16379,20220412201806,20220412203118,MKID004,1642,300
16379,20220412201806,20220412203818,MKID004,4956,300
16379,20220412201806,20220412204518,MKID004,1638,300
16379,20220418204855,20220418211325,MKID004,1639,300
16379,20220425123026,20220425123506,MKID004,1640,300
17507,20220324205018,20220324210049,MKID004,7443,300
17507,20220324205018,20220324210419,MKID004,804,300
17507,20220324205018,20220324210812,MKID004,7441,300
17507,20220324205018,20220324211100,MKID004,7442,300
17507,20220324205018,20220324211210,MKID004,7444,300
17507,20220409214410,20220409214513,MKID004,4157,500
23882,20220321192605,20220321204311,MKID004,10669,700
23882,20220409090723,20220409092230,MKID004,5349,500
23882,20220409090723,20220409095652,MKID004,7378,700
23882,20220409204536,20220410095655,MKID004,3067,300
23882,20220409204536,20220410095906,MKID004,8456,300
23882,20220413073602,20220413075328,MKID004,10389,500
23882,20220413130952,20220413133352,MKID004,415,500
23882,20220416090834,20220416092104,MKID004,8451,500
23882,20220421182514,20220421184855,MKID004,7443,300
23882,20220421182514,20220421185231,MKID004,7441,300
23882,20220421182514,20220421185510,MKID004,8749,1200
31509,20220409115246,20220409115347,MKID004,19906,500
31837,20220427143436,20220427143618,MKID004,1640,300
32528,20220402103913,20220402104848,MKID004,21237,300
